,between_days,c_recordOnDays
1899,2016-03-14,111
1900,2016-03-15,111
1901,2016-03-16,111
1902,2016-03-17,111
1903,2016-03-18,111
1904,2016-03-19,111
1905,2016-03-20,111
1906,2016-03-21,111
1907,2016-03-22,111
1908,2016-03-23,111
1909,2016-03-24,111
1910,2016-03-25,111
1911,2016-03-26,111
1912,2016-03-27,111
1913,2016-03-28,111
1914,2016-03-29,111
1915,2016-03-30,111
1916,2016-03-31,111
1917,2016-04-01,111
1918,2016-04-02,111
1919,2016-04-03,111
1920,2016-04-04,111
1921,2016-04-05,111
1922,2016-04-06,111
1923,2016-04-07,111
1924,2016-04-08,111
1925,2016-04-09,111
1926,2016-04-10,111
1927,2016-04-11,111
1928,2016-04-12,111
1929,2016-04-13,111
1930,2016-04-14,111
1931,2016-04-15,111
1932,2016-04-16,111
1933,2016-04-17,111
1934,2016-04-18,111
1935,2016-04-19,111
1936,2016-04-20,111
1937,2016-04-21,111
1938,2016-04-22,111
1939,2016-04-23,111
1940,2016-04-24,111
1941,2016-04-25,111
1942,2016-04-26,111
1943,2016-04-27,111
1944,2016-04-28,111
1945,2016-04-29,111
1946,2016-04-30,111
1947,2016-05-01,111
1948,2016-05-02,111
1949,2016-05-03,111
1950,2016-05-04,111
1951,2016-05-05,111
1952,2016-05-06,111
1953,2016-05-07,111
1954,2016-05-08,111
1955,2016-05-09,111
1956,2016-05-10,111
1957,2016-05-11,111
1958,2016-05-12,111
1959,2016-05-13,111
1960,2016-05-14,111
1961,2016-05-15,111
1962,2016-05-16,111
1963,2016-05-17,111
1964,2016-05-18,111
1965,2016-05-19,111
1966,2016-05-20,111
1967,2016-05-21,111
1968,2016-05-22,111
1969,2016-05-23,111
1970,2016-05-24,111
1971,2016-05-25,111
1972,2016-05-26,
1973,2016-05-27,
1974,2016-05-28,
1975,2016-05-29,
1976,2016-05-30,
1977,2016-05-31,
2192,2017-01-01,
2193,2017-01-02,
2194,2017-01-03,
2195,2017-01-04,
2196,2017-01-05,
2197,2017-01-06,
2198,2017-01-07,
2199,2017-01-08,
2200,2017-01-09,
2201,2017-01-10,
2202,2017-01-11,
2203,2017-01-12,
2204,2017-01-13,
2205,2017-01-14,
2206,2017-01-15,
2207,2017-01-16,
2208,2017-01-17,
2209,2017-01-18,
2210,2017-01-19,
2211,2017-01-20,
2212,2017-01-21,
2213,2017-01-22,
2214,2017-01-23,
2215,2017-01-24,
2216,2017-01-25,
2217,2017-01-26,
2218,2017-01-27,
2219,2017-01-28,
2220,2017-01-29,
2221,2017-01-30,
2222,2017-01-31,
2223,2017-02-01,
2224,2017-02-02,
2225,2017-02-03,
2226,2017-02-04,
2227,2017-02-05,
2228,2017-02-06,
2229,2017-02-07,
2230,2017-02-08,
2231,2017-02-09,
2232,2017-02-10,
2233,2017-02-11,
2234,2017-02-12,
2235,2017-02-13,
2236,2017-02-14,
2237,2017-02-15,
2238,2017-02-16,
2239,2017-02-17,
2240,2017-02-18,
2241,2017-02-19,
2242,2017-02-20,
2243,2017-02-21,106
2244,2017-02-22,106
2245,2017-02-23,106
2246,2017-02-24,106
2247,2017-02-25,106
2248,2017-02-26,106
2249,2017-02-27,106
2250,2017-02-28,106
2251,2017-03-01,106
2252,2017-03-02,106
2253,2017-03-03,106
2254,2017-03-04,106
2255,2017-03-05,106
2256,2017-03-06,106
2257,2017-03-07,106
2258,2017-03-08,106
2259,2017-03-09,106
2260,2017-03-10,106
2261,2017-03-11,106
2262,2017-03-12,106
2263,2017-03-13,106
2264,2017-03-14,106
2265,2017-03-15,106
2266,2017-03-16,106
2267,2017-03-17,106
2268,2017-03-18,106
2269,2017-03-19,106
2270,2017-03-20,106
2271,2017-03-21,106
2272,2017-03-22,106
2273,2017-03-23,106
2274,2017-03-24,106
2275,2017-03-25,106
2276,2017-03-26,106
2277,2017-03-27,106
2278,2017-03-28,106
2279,2017-03-29,106
2280,2017-03-30,106
2281,2017-03-31,106
2282,2017-04-01,106
2283,2017-04-02,106
2284,2017-04-03,106
2285,2017-04-04,106
2286,2017-04-05,106
2287,2017-04-06,106
2288,2017-04-07,106
2289,2017-04-08,106
2290,2017-04-09,106
2291,2017-04-10,106
2292,2017-04-11,106
2293,2017-04-12,106
2294,2017-04-13,106
2295,2017-04-14,106
2296,2017-04-15,106
2297,2017-04-16,106
2298,2017-04-17,106
2299,2017-04-18,106
2300,2017-04-19,106
2301,2017-04-20,106
2302,2017-04-21,106
2303,2017-04-22,106
2304,2017-04-23,106
2305,2017-04-24,106
2306,2017-04-25,106
2307,2017-04-26,106
2308,2017-04-27,106
