,Date,DataType,sightings,Overlap
426,2014-03-11,Acoustic,,Acoustic
427,2014-03-12,Acoustic,,AcousticWhale
428,2014-03-13,Acoustic,,Acoustic
429,2014-03-14,Acoustic,,AcousticWhale
430,2014-03-15,Acoustic,,Acoustic
431,2014-03-16,Acoustic,,Acoustic
432,2014-03-17,Acoustic,,AcousticWhale
433,2014-03-18,Acoustic,,AcousticWhale
434,2014-03-19,Acoustic,,AcousticWhale
435,2014-03-20,Acoustic,,Acoustic
436,2014-03-21,Acoustic,,Acoustic
437,2014-03-22,Acoustic,,Acoustic
438,2014-03-23,Acoustic,,AcousticWhale
439,2014-03-24,Acoustic,,Acoustic
440,2014-03-25,Acoustic,,AcousticWhaleZooplankton
441,2014-03-26,Acoustic,,Acoustic
442,2014-03-27,Acoustic,,Acoustic
443,2014-03-28,Acoustic,,Acoustic
444,2014-03-29,Acoustic,,Acoustic
445,2014-03-30,Acoustic,,Acoustic
446,2014-03-31,Acoustic,,Acoustic
447,2014-04-01,Acoustic,,Acoustic
448,2014-04-02,Acoustic,,AcousticWhaleZooplankton
449,2014-04-03,Acoustic,,Acoustic
450,2014-04-04,Acoustic,,AcousticWhaleZooplankton
451,2014-04-05,Acoustic,,Acoustic
452,2014-04-06,Acoustic,,AcousticWhale
453,2014-04-07,Acoustic,,AcousticWhale
454,2014-04-08,Acoustic,,Acoustic
455,2014-04-09,Acoustic,,AcousticWhaleZooplankton
456,2014-04-10,Acoustic,,Acoustic
457,2014-04-11,Acoustic,,Acoustic
458,2014-04-12,Acoustic,,AcousticWhaleZooplankton
459,2014-04-13,Acoustic,,Acoustic
460,2014-04-14,Acoustic,,Acoustic
461,2014-04-15,Acoustic,,Acoustic
462,2014-04-16,Acoustic,,Acoustic
463,2014-04-17,Acoustic,,AcousticWhale
464,2014-04-18,Acoustic,,AcousticWhaleZooplankton
465,2014-04-19,Acoustic,,AcousticWhale
466,2014-04-20,Acoustic,,Acoustic
467,2014-04-21,Acoustic,,AcousticWhaleZooplankton
468,2014-04-22,Acoustic,,Acoustic
469,2014-04-23,Acoustic,,Acoustic
470,2014-04-24,Acoustic,,Acoustic
471,2014-04-25,Acoustic,,AcousticWhaleZooplankton
472,2014-04-26,Acoustic,,Acoustic
473,2014-04-27,Acoustic,,Acoustic
474,2014-04-28,Acoustic,,Acoustic
475,2014-04-29,Acoustic,,Acoustic
476,2014-04-30,Acoustic,,Acoustic
477,2014-05-01,Acoustic,,Acoustic
478,2014-05-02,Acoustic,,Acoustic
479,2014-05-03,Acoustic,,Acoustic
480,2014-05-04,Acoustic,,Acoustic
481,2014-05-05,Acoustic,,Acoustic
482,2014-05-06,Acoustic,,Acoustic
483,2014-05-07,Acoustic,,Acoustic
484,2014-05-08,Acoustic,,Acoustic
485,2014-05-09,Acoustic,,Acoustic
486,2014-05-10,Acoustic,,Acoustic
487,2014-05-11,Acoustic,,Acoustic
488,2014-05-12,Acoustic,,Acoustic
489,2014-05-13,Acoustic,,Acoustic
490,2014-05-14,Acoustic,,Acoustic
491,2014-05-15,Acoustic,,Acoustic
492,2014-05-16,Acoustic,,Acoustic
493,2014-05-17,Acoustic,,Acoustic
494,2014-05-18,Acoustic,,Acoustic
495,2014-05-19,Acoustic,,Acoustic
496,2014-05-20,Acoustic,,Acoustic
497,2014-05-21,Acoustic,,Acoustic
498,2015-02-17,Acoustic,,Acoustic
499,2015-02-18,Acoustic,,AcousticWhaleZooplankton
500,2015-02-19,Acoustic,,Acoustic
501,2015-02-20,Acoustic,,Acoustic
502,2015-02-21,Acoustic,,Acoustic
503,2015-02-22,Acoustic,,Acoustic
504,2015-02-23,Acoustic,,Acoustic
505,2015-02-24,Acoustic,,AcousticWhale
506,2015-02-25,Acoustic,,Acoustic
507,2015-02-26,Acoustic,,Acoustic
508,2015-02-27,Acoustic,,Acoustic
509,2015-02-28,Acoustic,,AcousticWhale
510,2015-03-01,Acoustic,,Acoustic
511,2015-03-02,Acoustic,,Acoustic
512,2015-03-03,Acoustic,,AcousticWhale
513,2015-03-04,Acoustic,,Acoustic
514,2015-03-05,Acoustic,,Acoustic
515,2015-03-06,Acoustic,,AcousticWhale
516,2015-03-07,Acoustic,,AcousticWhale
517,2015-03-08,Acoustic,,Acoustic
518,2015-03-09,Acoustic,,Acoustic
519,2015-03-10,Acoustic,,AcousticWhale
520,2015-03-11,Acoustic,,Acoustic
521,2015-03-12,Acoustic,,Acoustic
522,2015-03-13,Acoustic,,Acoustic
523,2015-03-14,Acoustic,,Acoustic
524,2015-03-15,Acoustic,,Acoustic
525,2015-03-16,Acoustic,,Acoustic
526,2015-03-17,Acoustic,,Acoustic
527,2015-03-18,Acoustic,,Acoustic
528,2015-03-19,Acoustic,,Acoustic
529,2015-03-20,Acoustic,,AcousticWhaleZooplankton
530,2015-03-21,Acoustic,,Acoustic
531,2015-03-22,Acoustic,,Acoustic
532,2015-03-23,Acoustic,,Acoustic
533,2015-03-24,Acoustic,,Acoustic
534,2015-03-25,Acoustic,,Acoustic
535,2015-03-26,Acoustic,,Acoustic
536,2015-03-27,Acoustic,,Acoustic
537,2015-03-28,Acoustic,,Acoustic
538,2015-03-29,Acoustic,,Acoustic
539,2015-03-30,Acoustic,,Acoustic
540,2015-03-31,Acoustic,,Acoustic
541,2015-04-01,Acoustic,,Acoustic
542,2015-04-02,Acoustic,,Acoustic
543,2015-04-03,Acoustic,,Acoustic
544,2015-04-04,Acoustic,,Acoustic
545,2015-04-05,Acoustic,,Acoustic
546,2015-04-06,Acoustic,,AcousticWhaleZooplankton
547,2015-04-07,Acoustic,,Acoustic
548,2015-04-08,Acoustic,,Acoustic
549,2015-04-09,Acoustic,,Acoustic
550,2015-04-10,Acoustic,,Acoustic
551,2015-04-11,Acoustic,,Acoustic
552,2015-04-12,Acoustic,,AcousticWhale
553,2015-04-13,Acoustic,,Acoustic
554,2015-04-14,Acoustic,,Acoustic
555,2015-04-15,Acoustic,,AcousticWhaleZooplankton
556,2015-04-16,Acoustic,,AcousticWhale
557,2015-04-17,Acoustic,,Acoustic
558,2015-04-18,Acoustic,,AcousticWhaleZooplankton
559,2015-04-19,Acoustic,,AcousticWhale
560,2015-04-20,Acoustic,,Acoustic
561,2015-04-21,Acoustic,,AcousticWhale
562,2015-04-22,Acoustic,,AcousticWhale
563,2015-04-23,Acoustic,,Acoustic
564,2015-04-24,Acoustic,,Acoustic
565,2015-04-25,Acoustic,,AcousticWhale
566,2015-04-26,Acoustic,,AcousticWhale
567,2015-04-27,Acoustic,,AcousticWhaleZooplankton
568,2015-04-28,Acoustic,,Acoustic
569,2015-04-29,Acoustic,,AcousticWhale
570,2015-04-30,Acoustic,,AcousticWhale
571,2015-05-01,Acoustic,,AcousticWhale
572,2015-05-02,Acoustic,,AcousticWhale
573,2015-05-03,Acoustic,,AcousticWhale
574,2015-05-04,Acoustic,,AcousticWhale
575,2015-05-05,Acoustic,,Acoustic
576,2015-05-06,Acoustic,,AcousticWhaleZooplankton
577,2015-05-07,Acoustic,,AcousticWhale
578,2015-05-08,Acoustic,,AcousticWhaleZooplankton
579,2015-05-09,Acoustic,,AcousticWhale
580,2015-05-10,Acoustic,,Acoustic
581,2015-05-11,Acoustic,,AcousticWhale
582,2015-05-12,Acoustic,,Acoustic
583,2015-05-13,Acoustic,,Acoustic
584,2015-05-14,Acoustic,,Acoustic
585,2015-05-15,Acoustic,,Acoustic
586,2015-05-16,Acoustic,,Acoustic
587,2015-05-17,Acoustic,,Acoustic
588,2015-05-18,Acoustic,,Acoustic
589,2015-05-19,Acoustic,,Acoustic
590,2015-05-20,Acoustic,,Acoustic
591,2015-05-21,Acoustic,,Acoustic
592,2016-02-15,Acoustic,,Acoustic
593,2016-02-16,Acoustic,,Acoustic
594,2016-02-17,Acoustic,,AcousticWhale
595,2016-02-18,Acoustic,,Acoustic
596,2016-02-19,Acoustic,,AcousticWhale
597,2016-02-20,Acoustic,,Acoustic
598,2016-02-21,Acoustic,,AcousticWhale
599,2016-02-22,Acoustic,,Acoustic
600,2016-02-23,Acoustic,,Acoustic
601,2016-02-24,Acoustic,,Acoustic
602,2016-02-25,Acoustic,,Acoustic
603,2016-02-26,Acoustic,,Acoustic
604,2016-02-27,Acoustic,,AcousticWhale
605,2016-02-28,Acoustic,,Acoustic
606,2016-02-29,Acoustic,,Acoustic
